country,relative_quality
"Korea, North",0.2222222222222222
Saudi Arabia,0.1282051282051282
Romania,0.12244897959183673
Central African Republic,0.12121212121212122
Uzbekistan,0.10714285714285714
Mauritania,0.10416666666666667
Guatemala,0.08433734939759036
Dominica,0.08333333333333333
Syria,0.078125
Benin,0.07692307692307693
United States,0.07483629560336763
Tuvalu,0.07407407407407407
Singapore,0.07352941176470588
Vietnam,0.06951871657754011
Ireland,0.06702412868632708
United Kingdom,0.06542056074766354
Bhutan,0.06060606060606061
Qatar,0.06
Ukraine,0.053691275167785234
Vanuatu,0.05172413793103448
Guinea-Bissau,0.05
Senegal,0.047619047619047616
Panama,0.046296296296296294
Philippines,0.04365079365079365
Spain,0.04362801377726751
Indonesia,0.0430622009569378
Kyrgyzstan,0.04285714285714286
Egypt,0.042735042735042736
Gabon,0.041237113402061855
Afghanistan,0.040625
Israel,0.04056795131845842
Palestinian Territory,0.03910614525139665
Russia,0.03775743707093822
Lebanon,0.03763440860215054
Libya,0.03636363636363636
Trinidad and Tobago,0.03571428571428571
China,0.0354295837023915
Mali,0.035398230088495575
Bosnia-Herzegovina,0.03529411764705882
United Arab Emirates,0.03508771929824561
Guinea,0.034482758620689655
Myanmar,0.03389830508474576
Equatorial Guinea,0.03333333333333333
Mongolia,0.03260869565217391
Argentina,0.032586558044806514
Haiti,0.031055900621118012
Iraq,0.030303030303030304
Martinique,0.029411764705882353
Greece,0.02922077922077922
Canada,0.028537455410225922
Belarus,0.027777777777777776
Montenegro,0.027777777777777776
Paraguay,0.0273972602739726
Tajikistan,0.02702702702702703
Kuwait,0.02702702702702703
Somalia,0.02694610778443114
Thailand,0.026785714285714284
Niger,0.02631578947368421
Armenia,0.02577319587628866
Yemen,0.02564102564102564
Madagascar,0.025423728813559324
Papua New Guinea,0.025
Suriname,0.025
Malawi,0.02459016393442623
Gambia,0.024390243902439025
Jamaica,0.024390243902439025
Australia,0.02435897435897436
Taiwan,0.024
Germany,0.023255813953488372
Venezuela,0.022900763358778626
Kosovo,0.021739130434782608
Sri Lanka,0.021691973969631236
South Africa,0.021220159151193633
Burkina Faso,0.021052631578947368
Sudan,0.021052631578947368
Jordan,0.020833333333333332
Ethiopia,0.019801980198019802
Cambodia,0.018779342723004695
Laos,0.018691588785046728
Kenya,0.018617021276595744
Serbia,0.018604651162790697
Japan,0.018306636155606407
Malaysia,0.01804123711340206
"Korea, South",0.017921146953405017
Slovenia,0.017857142857142856
Latvia,0.017857142857142856
Algeria,0.017241379310344827
Poland,0.01675257731958763
New Zealand,0.016602809706257982
Iran,0.015931372549019607
Dominican Republic,0.015625
France,0.015540944411237299
Togo,0.015384615384615385
Mauritius,0.015384615384615385
Botswana,0.015151515151515152
Pakistan,0.014705882352941176
Denmark,0.013937282229965157
Norway,0.013719512195121951
Bulgaria,0.013452914798206279
India,0.013360739979445015
Burundi,0.013333333333333334
Hungary,0.013114754098360656
Liberia,0.012903225806451613
Ghana,0.01282051282051282
Croatia,0.012345679012345678
Sierra Leone,0.012269938650306749
Zimbabwe,0.012195121951219513
Maldives,0.012048192771084338
Cuba,0.011695906432748537
Netherlands,0.011428571428571429
Azerbaijan,0.0111731843575419
Brazil,0.011009174311926606
Ecuador,0.01092896174863388
Sweden,0.0106951871657754
Chad,0.010416666666666666
Cyprus,0.010309278350515464
Iceland,0.009950248756218905
Malta,0.00980392156862745
Cameroon,0.00980392156862745
Rwanda,0.009615384615384616
Bangladesh,0.00946372239747634
Mexico,0.00929368029739777
Austria,0.009009009009009009
Nicaragua,0.008771929824561403
Chile,0.008620689655172414
Turkey,0.008620689655172414
Slovakia,0.008620689655172414
South Sudan,0.007575757575757576
Italy,0.0072992700729927005
Uruguay,0.007017543859649123
Congo,0.006802721088435374
Albania,0.006564551422319475
Luxembourg,0.0056179775280898875
Bolivia,0.00546448087431694
Uganda,0.005405405405405406
Fiji,0.005076142131979695
Morocco,0.0048543689320388345
Lithuania,0.004098360655737705
Colombia,0.0035087719298245615
Portugal,0.003125
Nigeria,0.0029542097488921715
Peru,0.002857142857142857
Nepal,0.0028011204481792717
Switzerland,0.0024875621890547263
Tanzania,0.0024752475247524753
Belgium,0.0019267822736030828
Costa Rica,0.0
Comoros,0.0
Zambia,0.0
Angola,0.0
Estonia,0.0
Eritrea,0.0
Antigua and Barbuda,0.0
Andorra,0.0
Tonga,0.0
Federated States of Micronesia,0.0
Djibouti,0.0
Tunisia,0.0
Turkmenistan,0.0
Marshall Islands,0.0
Finland,0.0
Belize,0.0
Moldova,0.0
Monaco,0.0
Mozambique,0.0
Namibia,0.0
Nauru,0.0
Liechtenstein,0.0
Lesotho,0.0
Kiribati,0.0
Kazakhstan,0.0
Barbados,0.0
French Guiana,0.0
San Marino,0.0
Sao Tome and Principe,0.0
Bahrain,0.0
Guyana,0.0
Seychelles,0.0
Guadeloupe,0.0
Solomon Islands,0.0
Grenada,0.0
Cape Verde,0.0
Bahamas,0.0
